,second,red,green,game
418,25080,181,206,1
419,25140,193,197,1
420,25200,190,218,1
421,25260,167,158,1
422,25320,190,213,1
423,25380,179,222,1
424,25440,188,223,1
425,25500,187,231,1
426,25560,179,222,1
427,25620,190,212,1
428,25680,157,190,1
429,25740,146,120,1
430,25800,198,181,1
431,25860,201,189,1
432,25920,187,221,1
433,25980,186,227,1
434,26040,196,174,1
435,26100,186,142,1
436,26160,186,0,1
437,26220,0,0,0
438,26280,0,0,0
439,26340,0,0,0
440,26400,0,0,0
441,26460,0,0,0
442,26520,0,0,0
443,26580,0,0,0
444,26640,0,0,0
445,26700,0,0,0
446,26760,0,0,0
447,26820,0,0,0
448,26880,0,0,0
449,26940,0,0,0
450,27000,0,0,0
451,27060,0,0,0
452,27120,0,0,0
453,27180,0,0,0
454,27240,0,0,0
455,27300,0,0,0
456,27360,0,0,0
457,27420,0,0,0
458,27480,0,0,0
459,27540,0,0,0
460,27600,0,0,0
461,27660,0,0,0
462,27720,0,0,0
463,27780,0,0,0
464,27840,0,0,0
465,27900,0,0,0
466,27960,222,213,1
467,28020,184,192,1
468,28080,151,156,1
469,28140,175,193,1
470,28200,156,164,1
471,28260,184,170,1
472,28320,168,174,1
473,28380,204,193,1
474,28440,181,207,1
475,28500,182,217,1
476,28560,198,187,1
477,28620,195,185,1
478,28680,161,135,1
479,28740,188,213,1
480,28800,169,213,1
481,28860,179,164,1
482,28920,195,188,1
483,28980,186,207,1
484,29040,154,195,1
485,29100,184,204,1
486,29160,137,208,1
487,29220,183,172,1
488,29280,157,64,1
489,29340,148,73,1
490,29400,208,167,1
491,29460,184,195,1
492,29520,133,177,1
493,29580,171,164,1
494,29640,192,221,1
495,29700,183,224,1
496,29760,185,216,1
497,29820,166,30,1
498,29880,205,198,1
499,29940,183,218,1
500,30000,180,151,1
501,30060,258,0,1
502,30120,191,138,1
503,30180,196,156,1
504,30240,185,218,1
505,30300,180,216,1
506,30360,190,227,1
507,30420,190,133,1
508,30480,177,197,1
509,30540,187,205,1
510,30600,196,216,1
511,30660,97,170,1
512,30720,168,118,1
513,30780,195,128,1
514,30840,117,193,1
515,30900,0,0,0
516,30960,0,0,0
517,31020,0,0,0
518,31080,0,0,0
519,31140,0,0,0
520,31200,0,0,0
521,31260,0,0,0
522,31320,0,0,0
523,31380,0,0,0
524,31440,0,0,0
525,31500,0,0,0
526,31560,0,0,0
527,31620,0,0,0
528,31680,0,0,0
529,31740,0,0,0
530,31800,0,0,0
531,31860,0,0,0
532,31920,0,0,0
533,31980,0,0,0
534,32040,0,0,0
535,32100,0,0,0
536,32160,0,0,0
537,32220,0,0,0
538,32280,0,0,0
539,32340,0,0,0
540,32400,0,0,0
541,32460,0,0,0
542,32520,0,0,0
543,32580,0,0,0
